ID_ученика,Класс,Район,Средний_балл,Часы_самоподготовки_в_неделю,Посещаемость_%,Уверенность_в_себе,Уровень_стресса_перед_экзаменом,Пропущенные_дни,Тип_школы,Рез_экзамена,Индекс_качества_школы,Стабильность_преподавателей,Доступ_к_ресурсам,Образовательная_среда
225,11,Исмоили Сомони,4.142,12,83.604,5.0,3.0,9,Обычная школа,1,0.342,0.0301,0.4959,0.4796
226,11,Исмоили Сомони,4.139,15,87.589,3.0,4.0,7,Обычная школа,0,0.5126,0.1247,0.4322,0.3222
227,11,Сино,4.579,12,80.487,5.0,3.0,10,Лицей/гимназия,1,0.7089,0.3245,0.3889,0.4127
228,11,Фирдавси,4.011,11,76.113,6.0,5.0,9,Лицей/гимназия,1,0.3525,0.1257,0.4761,0.4948
229,11,Сино,3.891,12,82.704,4.0,4.0,12,Обычная школа,1,0.3813,0.2221,0.2209,0.4556
230,11,Сино,4.199,15,81.654,4.0,4.0,8,Лицей/гимназия,1,0.463,0.1835,0.4522,0.2231
231,11,Фирдавси,4.067,13,85.775,5.0,6.0,7,Обычная школа,1,0.4572,0.2537,0.2068,0.4021
232,11,Исмоили Сомони,4.027,13,80.828,5.0,5.0,10,Обычная школа,1,0.6318,0.2809,0.5061,0.3849
233,11,Исмоили Сомони,3.565,11,78.078,3.0,5.0,10,Обычная школа,0,0.2663,0.1775,0.0382,0.2963
234,11,Фирдавси,4.181,10,67.967,5.0,5.0,11,Обычная школа,1,0.5457,0.2253,0.5154,0.2989
235,11,Сино,4.027,15,80.773,6.0,6.0,11,Обычная школа,0,0.4914,0.2026,0.2565,0.3368
236,11,Сино,4.033,14,80.798,4.0,6.0,10,Обычная школа,1,0.3322,0.0769,0.3585,0.1732
237,11,Исмоили Сомони,3.608,18,84.353,3.0,5.0,6,Обычная школа,0,0.3994,0.3339,0.2672,0.3917
238,11,Сино,3.776,10,78.705,4.0,6.0,10,Обычная школа,1,0.3445,0.24,0.3626,0.3249
239,11,Сино,5.0,13,84.516,6.0,3.0,8,Лицей/гимназия,1,0.6094,0.2887,0.4304,0.3689
240,11,Фирдавси,4.671,16,90.495,6.0,3.0,11,Лицей/гимназия,1,0.7022,0.5302,0.4793,0.7029
241,11,Фирдавси,4.391,10,72.491,8.0,4.0,12,Лицей/гимназия,0,0.5287,0.3638,0.4228,0.4516
242,11,Исмоили Сомони,4.099,7,76.587,5.0,6.0,16,Обычная школа,0,0.4075,0.2543,0.3184,0.2858
243,11,Шохмансур,4.253,15,83.086,5.0,5.0,10,Обычная школа,0,0.4924,0.128,0.5546,0.3754
244,11,Сино,3.618,13,79.336,3.0,6.0,12,Обычная школа,0,0.2191,0.2257,0.2554,0.0748
245,11,Фирдавси,4.086,13,76.96,5.0,4.0,13,Обычная школа,1,0.6501,0.6264,0.5005,0.4675
246,11,Сино,4.029,9,71.527,5.0,6.0,12,Обычная школа,0,0.3829,0.2563,0.2539,0.4198
247,11,Сино,4.077,5,75.455,5.0,5.0,14,Обычная школа,1,0.3781,0.2446,0.4757,0.1448
248,11,Фирдавси,3.804,9,71.077,4.0,5.0,13,Обычная школа,0,0.423,0.3543,0.4056,0.4834
249,11,Исмоили Сомони,4.495,11,81.19,6.0,5.0,10,Лицей/гимназия,1,0.4737,0.3834,0.336,0.4295
250,11,Шохмансур,4.231,5,76.86,4.0,6.0,13,Обычная школа,0,0.4808,0.2799,0.3159,0.4037
251,11,Исмоили Сомони,4.263,12,78.95,6.0,4.0,10,Лицей/гимназия,1,0.5272,0.2839,0.4561,0.4534
252,11,Исмоили Сомони,4.292,15,75.926,5.0,6.0,10,Лицей/гимназия,0,0.4527,0.349,0.449,0.3994
253,11,Фирдавси,4.46,9,73.403,6.0,6.0,15,Обычная школа,1,0.5699,0.0444,0.625,0.2919
254,11,Фирдавси,3.347,10,76.846,3.0,7.0,10,Обычная школа,1,0.3024,0.2729,0.3198,0.295
255,11,Шохмансур,4.043,17,83.684,4.0,5.0,12,Обычная школа,1,0.6284,0.4341,0.6105,0.5737
256,11,Сино,4.623,16,87.181,7.0,5.0,8,Лицей/гимназия,1,0.6791,0.356,0.6238,0.5408
257,11,Сино,3.981,7,72.629,5.0,4.0,7,Обычная школа,0,0.4792,0.2959,0.322,0.2279
258,11,Шохмансур,3.635,5,69.076,4.0,6.0,13,Обычная школа,0,0.3066,0.2373,0.1186,0.273
259,11,Сино,4.12,14,87.095,3.0,4.0,12,Обычная школа,1,0.3763,0.3004,0.4849,0.4909
260,11,Шохмансур,4.075,13,79.579,4.0,5.0,9,Обычная школа,0,0.4129,0.1495,0.4334,0.5189
261,11,Фирдавси,3.573,5,70.899,3.0,6.0,14,Обычная школа,0,0.1656,0.1032,0.0,0.1802
262,11,Шохмансур,3.959,8,73.219,3.0,5.0,13,Обычная школа,1,0.2172,0.2113,0.1903,0.1983
263,11,Исмоили Сомони,3.957,15,86.199,4.0,6.0,14,Обычная школа,1,0.2986,0.1606,0.27,0.4958
264,11,Шохмансур,3.878,13,79.762,4.0,6.0,9,Обычная школа,0,0.3801,0.3076,0.2653,0.322
265,11,Сино,4.272,18,88.268,4.0,5.0,1,Лицей/гимназия,1,0.604,0.3735,0.6061,0.4082
266,11,Исмоили Сомони,4.452,5,68.257,6.0,5.0,13,Лицей/гимназия,1,0.5138,0.4078,0.4786,0.4982
267,11,Сино,3.743,15,78.128,4.0,7.0,8,Обычная школа,1,0.1412,0.0,0.1811,0.4271
268,11,Сино,4.382,14,78.5,5.0,5.0,10,Лицей/гимназия,1,0.4099,0.4362,0.2662,0.44
269,11,Сино,4.265,10,81.322,4.0,6.0,9,Обычная школа,1,0.412,0.276,0.4282,0.3078
270,11,Сино,4.567,12,78.33,6.0,3.0,6,Лицей/гимназия,1,0.575,0.3211,0.481,0.3233
271,11,Фирдавси,3.621,5,75.967,4.0,6.0,13,Обычная школа,0,0.3445,0.0528,0.4216,0.2182
272,11,Фирдавси,4.26,16,82.22,5.0,5.0,6,Лицей/гимназия,1,0.4244,0.1663,0.384,0.5735
273,11,Сино,4.191,16,81.276,3.0,6.0,9,Обычная школа,0,0.4215,0.233,0.466,0.2703
274,11,Сино,4.32,13,78.271,6.0,4.0,10,Лицей/гимназия,0,0.5899,0.2412,0.3943,0.4345
275,11,Исмоили Сомони,4.571,20,85.794,6.0,4.0,5,Лицей/гимназия,1,0.5379,0.5345,0.5282,0.437
276,11,Сино,4.262,10,75.28,4.0,5.0,13,Лицей/гимназия,0,0.371,0.3126,0.2916,0.3642
277,11,Исмоили Сомони,4.332,8,77.734,6.0,5.0,11,Обычная школа,1,0.5546,0.4159,0.5476,0.588
278,11,Шохмансур,4.517,15,80.954,8.0,4.0,9,Лицей/гимназия,1,0.5917,0.2063,0.5245,0.4244
279,11,Исмоили Сомони,3.962,11,75.959,5.0,4.0,7,Обычная школа,0,0.422,0.2793,0.3282,0.4306
280,11,Шохмансур,3.453,11,75.606,3.0,7.0,10,Обычная школа,0,0.284,0.0381,0.0781,0.2895
281,11,Сино,4.48,8,71.244,7.0,4.0,12,Лицей/гимназия,0,0.5714,0.3971,0.5256,0.505
282,11,Исмоили Сомони,4.208,17,87.006,6.0,5.0,10,Обычная школа,0,0.4239,0.1303,0.5642,0.4949
283,11,Фирдавси,4.163,17,80.982,5.0,4.0,10,Лицей/гимназия,1,0.3792,0.2309,0.4556,0.3677
284,11,Сино,3.841,16,86.707,3.0,6.0,9,Обычная школа,1,0.3527,0.351,0.364,0.1753
285,11,Шохмансур,3.955,13,84.272,4.0,4.0,9,Обычная школа,1,0.4247,0.3032,0.3458,0.4185
286,11,Исмоили Сомони,4.385,8,76.195,6.0,4.0,12,Обычная школа,1,0.4911,0.4262,0.7696,0.377
287,11,Сино,3.99,7,72.25,5.0,6.0,13,Обычная школа,0,0.4487,0.2842,0.3554,0.15
288,11,Сино,3.737,5,70.469,2.0,5.0,10,Обычная школа,0,0.2852,0.1845,0.4505,0.2591
289,11,Фирдавси,3.676,4,69.408,3.0,6.0,17,Обычная школа,0,0.3261,0.1387,0.3484,0.4072
290,11,Исмоили Сомони,4.844,13,87.235,5.0,2.0,9,Лицей/гимназия,1,0.6869,0.3688,0.846,0.3161
291,11,Исмоили Сомони,4.322,5,74.406,3.0,4.0,12,Обычная школа,1,0.2938,0.0716,0.4207,0.603
292,11,Сино,3.785,8,74.659,5.0,6.0,13,Обычная школа,0,0.4133,0.2438,0.3298,0.3625
293,11,Шохмансур,3.556,9,77.962,5.0,8.0,11,Обычная школа,1,0.3447,0.1844,0.2172,0.1838
294,11,Шохмансур,3.839,13,79.711,6.0,5.0,9,Обычная школа,1,0.4186,0.2024,0.3497,0.4559
295,11,Сино,4.575,12,75.163,5.0,3.0,8,Лицей/гимназия,1,0.5718,0.4488,0.6377,0.4213
296,11,Шохмансур,4.244,10,76.522,6.0,6.0,11,Обычная школа,1,0.4257,0.3013,0.288,0.2566
297,11,Сино,3.964,15,80.989,4.0,5.0,11,Обычная школа,1,0.3456,0.2263,0.0667,0.3174
298,11,Фирдавси,4.83,15,84.364,7.0,3.0,8,Лицей/гимназия,1,0.6032,0.283,0.6278,0.5239
299,11,Фирдавси,3.937,9,71.597,5.0,4.0,14,Обычная школа,1,0.2642,0.1169,0.0,0.556
300,11,Исмоили Сомони,4.387,15,84.301,6.0,5.0,10,Лицей/гимназия,1,0.5407,0.2547,0.2119,0.5755
301,11,Фирдавси,4.152,8,75.21,5.0,5.0,7,Обычная школа,0,0.4536,0.4352,0.5934,0.4999
302,11,Фирдавси,3.719,14,77.964,5.0,4.0,10,Обычная школа,0,0.3378,0.0,0.4477,0.3927
303,11,Шохмансур,3.36,15,78.866,4.0,6.0,9,Обычная школа,0,0.2054,0.0612,0.0766,0.4804
304,11,Фирдавси,4.0,6,68.503,4.0,5.0,14,Обычная школа,0,0.2706,0.0883,0.2261,0.3579
305,11,Исмоили Сомони,4.021,4,74.689,5.0,5.0,15,Обычная школа,1,0.3961,0.3596,0.1238,0.3562
306,11,Шохмансур,3.839,5,72.736,4.0,7.0,11,Обычная школа,1,0.3333,0.1587,0.4693,0.3044
307,11,Фирдавси,3.572,3,72.479,4.0,6.0,17,Обычная школа,0,0.3506,0.0797,0.3693,0.3077
308,11,Фирдавси,3.617,7,74.519,4.0,6.0,9,Обычная школа,0,0.3404,0.0736,0.1833,0.5249
309,11,Фирдавси,4.699,14,79.633,5.0,3.0,11,Лицей/гимназия,1,0.5497,0.222,0.6791,0.3683
310,11,Сино,4.246,11,82.166,5.0,4.0,10,Лицей/гимназия,0,0.5652,0.3568,0.5116,0.425
311,11,Шохмансур,4.35,8,73.401,6.0,4.0,12,Лицей/гимназия,1,0.4936,0.2994,0.6209,0.4067
312,11,Сино,4.405,15,86.286,6.0,5.0,8,Лицей/гимназия,1,0.4989,0.2414,0.5748,0.5217
313,11,Исмоили Сомони,3.993,12,81.45,4.0,4.0,12,Обычная школа,1,0.3709,0.2886,0.4399,0.3301
314,11,Фирдавси,4.346,9,77.79,6.0,3.0,12,Лицей/гимназия,0,0.3897,0.2309,0.3822,0.6807
315,11,Исмоили Сомони,4.202,9,73.488,5.0,4.0,12,Лицей/гимназия,1,0.2707,0.0,0.2727,0.2879
316,11,Исмоили Сомони,3.621,6,70.132,3.0,6.0,15,Обычная школа,1,0.2209,0.1464,0.155,0.182
317,11,Фирдавси,4.379,6,72.107,6.0,4.0,12,Лицей/гимназия,1,0.5819,0.4978,0.6628,0.2876
318,11,Исмоили Сомони,4.362,12,84.966,5.0,4.0,6,Лицей/гимназия,1,0.4946,0.2573,0.3397,0.4465
319,11,Сино,4.447,6,72.565,5.0,6.0,16,Лицей/гимназия,1,0.3625,0.5464,0.5073,0.3238
320,11,Фирдавси,3.936,4,76.493,3.0,6.0,14,Обычная школа,0,0.392,0.0,0.4021,0.2208
321,11,Шохмансур,3.798,15,82.892,4.0,5.0,9,Обычная школа,1,0.4063,0.3046,0.2205,0.2249
322,11,Сино,4.435,8,74.241,6.0,6.0,11,Лицей/гимназия,0,0.437,0.4602,0.5197,0.4245
323,11,Исмоили Сомони,4.327,18,82.08,5.0,5.0,10,Обычная школа,1,0.465,0.2301,0.666,0.5004
324,11,Исмоили Сомони,3.91,11,79.148,4.0,6.0,6,Обычная школа,1,0.3838,0.2422,0.0898,0.4721
325,11,Фирдавси,4.108,14,81.939,4.0,3.0,12,Лицей/гимназия,1,0.4241,0.1874,0.2746,0.6306
326,11,Сино,4.474,11,76.641,6.0,4.0,11,Лицей/гимназия,1,0.5049,0.4455,0.4282,0.4022
327,11,Фирдавси,3.865,6,68.189,5.0,5.0,17,Обычная школа,0,0.4199,0.2869,0.3956,0.2567
328,11,Фирдавси,4.274,12,77.136,5.0,5.0,13,Лицей/гимназия,1,0.4497,0.2289,0.4555,0.3454
329,11,Фирдавси,3.83,12,81.591,5.0,5.0,10,Обычная школа,1,0.494,0.4013,0.3047,0.5033
330,11,Сино,4.366,18,88.465,3.0,5.0,4,Обычная школа,1,0.4179,0.2713,0.3504,0.2876
331,11,Фирдавси,4.156,10,79.079,5.0,3.0,7,Лицей/гимназия,1,0.4724,0.4118,0.2681,0.4109
332,11,Шохмансур,3.951,9,77.169,5.0,6.0,10,Обычная школа,0,0.4276,0.3034,0.0205,0.3639
333,11,Фирдавси,4.492,9,83.079,4.0,4.0,11,Лицей/гимназия,1,0.489,0.3931,0.4271,0.4825
334,11,Шохмансур,4.146,10,81.142,4.0,5.0,7,Обычная школа,1,0.3741,0.3875,0.3983,0.362
335,11,Сино,4.414,14,80.832,6.0,4.0,9,Лицей/гимназия,1,0.5225,0.2534,0.392,0.352
336,11,Шохмансур,3.883,13,71.997,6.0,5.0,8,Обычная школа,0,0.329,0.1979,0.3702,0.464
337,11,Исмоили Сомони,3.793,6,70.896,5.0,5.0,16,Обычная школа,0,0.3175,0.1982,0.4926,0.4631
338,11,Шохмансур,3.985,10,72.623,3.0,6.0,14,Обычная школа,0,0.2978,0.1573,0.2671,0.105
339,11,Исмоили Сомони,3.667,8,77.428,4.0,7.0,12,Обычная школа,1,0.3153,0.0511,0.2022,0.341
340,11,Исмоили Сомони,4.837,12,76.453,7.0,4.0,13,Лицей/гимназия,1,0.7484,0.4023,0.9042,0.413
341,11,Исмоили Сомони,3.54,10,80.12,2.0,8.0,8,Обычная школа,0,0.194,0.189,0.1787,0.1495
342,11,Фирдавси,4.184,16,84.168,5.0,4.0,7,Лицей/гимназия,1,0.6111,0.4146,0.548,0.3821
343,11,Фирдавси,3.829,12,78.737,4.0,5.0,10,Обычная школа,1,0.4875,0.4046,0.3344,0.4506
344,11,Шохмансур,4.016,11,77.139,4.0,6.0,8,Обычная школа,1,0.5223,0.4562,0.4382,0.3244
345,11,Фирдавси,3.843,8,73.402,4.0,6.0,13,Обычная школа,0,0.3978,0.2903,0.3288,0.4988
346,11,Сино,4.173,10,74.889,4.0,6.0,13,Обычная школа,1,0.5207,0.3449,0.5804,0.3559
347,11,Сино,4.559,5,70.659,6.0,5.0,13,Обычная школа,0,0.6012,0.2928,0.6422,0.5295
348,11,Исмоили Сомони,4.071,13,85.4,5.0,5.0,8,Обычная школа,1,0.3699,0.1606,0.2692,0.5101
349,11,Шохмансур,4.525,14,81.105,6.0,4.0,5,Лицей/гимназия,1,0.4134,0.2258,0.4294,0.5043
350,11,Сино,4.713,15,84.982,6.0,4.0,6,Лицей/гимназия,1,0.5134,0.3757,0.5522,0.5318
351,11,Исмоили Сомони,4.556,16,87.636,6.0,4.0,9,Лицей/гимназия,1,0.6257,0.2666,0.5679,0.7254
352,11,Исмоили Сомони,4.284,13,83.199,4.0,4.0,9,Обычная школа,1,0.4997,0.4385,0.5517,0.5883
353,11,Сино,3.708,12,77.462,3.0,5.0,9,Обычная школа,1,0.1742,0.3281,0.1892,0.3734
354,11,Сино,4.206,15,80.607,5.0,5.0,9,Обычная школа,1,0.4884,0.1332,0.2647,0.3214
355,11,Сино,4.59,10,78.131,6.0,4.0,12,Лицей/гимназия,0,0.7368,0.2155,0.4997,0.6911
356,11,Сино,3.552,10,80.241,5.0,7.0,13,Обычная школа,0,0.3879,0.3242,0.4353,0.3749
357,11,Сино,3.499,11,78.994,1.0,6.0,8,Обычная школа,0,0.2747,0.1558,0.1501,0.3123
358,11,Фирдавси,4.413,9,76.801,7.0,4.0,10,Лицей/гимназия,1,0.4326,0.3032,0.4904,0.6569
359,11,Сино,3.57,19,85.699,4.0,6.0,6,Обычная школа,0,0.4188,0.178,0.311,0.5626
360,11,Шохмансур,3.251,9,75.515,2.0,7.0,12,Обычная школа,0,0.3348,0.188,0.0,0.1609
361,11,Исмоили Сомони,4.456,12,78.918,6.0,4.0,11,Лицей/гимназия,1,0.5079,0.3719,0.6851,0.4417
362,11,Сино,3.907,16,87.355,4.0,6.0,12,Обычная школа,1,0.2951,0.3145,0.3968,0.4964
363,11,Исмоили Сомони,3.643,12,79.92,4.0,6.0,9,Обычная школа,1,0.2748,0.0391,0.1538,0.3484
364,11,Сино,3.529,10,74.131,3.0,6.0,11,Обычная школа,0,0.1726,0.1337,0.2174,0.171
365,11,Сино,4.249,9,80.99,5.0,4.0,11,Обычная школа,0,0.5008,0.1728,0.5376,0.4587
366,11,Сино,4.217,17,84.479,6.0,5.0,7,Лицей/гимназия,1,0.4306,0.2236,0.3712,0.4514
367,11,Исмоили Сомони,4.256,12,77.804,5.0,4.0,10,Обычная школа,1,0.3451,0.2345,0.5009,0.576
368,11,Сино,4.231,17,84.246,4.0,5.0,9,Обычная школа,1,0.3704,0.2636,0.1577,0.3389
369,11,Сино,3.778,11,83.107,4.0,5.0,8,Обычная школа,0,0.3669,0.1599,0.1305,0.3128
370,11,Шохмансур,3.897,11,74.779,4.0,6.0,9,Обычная школа,0,0.2341,0.0425,0.1551,0.2938
371,11,Шохмансур,4.105,11,76.994,5.0,6.0,11,Обычная школа,1,0.5265,0.2277,0.5718,0.6249
372,11,Фирдавси,4.045,9,74.15,4.0,5.0,11,Обычная школа,0,0.4381,0.3921,0.3837,0.4256
373,11,Исмоили Сомони,4.535,5,74.153,6.0,4.0,13,Лицей/гимназия,1,0.5133,0.3168,0.3804,0.4856
374,11,Фирдавси,4.141,18,87.536,4.0,6.0,7,Обычная школа,1,0.4681,0.3354,0.3739,0.3213
375,11,Исмоили Сомони,4.017,13,79.649,4.0,8.0,9,Обычная школа,0,0.2208,0.3235,0.1949,0.3259
376,11,Шохмансур,4.601,17,82.866,5.0,5.0,5,Лицей/гимназия,1,0.5897,0.4595,0.6293,0.3709
377,11,Исмоили Сомони,3.959,14,80.044,4.0,6.0,10,Обычная школа,1,0.3433,0.2616,0.2996,0.5358
378,11,Шохмансур,3.692,14,80.763,4.0,5.0,5,Обычная школа,0,0.3328,0.3,0.4189,0.3577
379,11,Сино,3.388,10,74.698,3.0,6.0,9,Обычная школа,0,0.192,0.292,0.1383,0.2959
380,11,Исмоили Сомони,3.969,23,88.164,5.0,6.0,6,Обычная школа,1,0.2986,0.0,0.2541,0.5192
381,11,Сино,3.709,12,77.66,4.0,5.0,13,Обычная школа,0,0.2078,0.12,0.1001,0.1828
382,11,Шохмансур,4.395,15,82.754,6.0,4.0,13,Лицей/гимназия,1,0.3791,0.0981,0.4416,0.5739
383,11,Фирдавси,4.417,16,81.228,5.0,4.0,12,Лицей/гимназия,1,0.6724,0.4509,0.3436,0.714
384,11,Шохмансур,4.085,12,77.348,4.0,5.0,10,Обычная школа,1,0.399,0.1922,0.1757,0.2882
385,11,Сино,4.412,22,83.493,7.0,3.0,8,Лицей/гимназия,1,0.5368,0.2704,0.4777,0.6342
386,11,Исмоили Сомони,3.745,6,68.114,3.0,4.0,12,Обычная школа,0,0.2331,0.0666,0.1317,0.1658
387,11,Сино,4.029,10,79.814,4.0,4.0,7,Обычная школа,1,0.5536,0.265,0.3744,0.4773
388,11,Фирдавси,4.214,19,90.562,7.0,3.0,7,Лицей/гимназия,1,0.4188,0.1288,0.4866,0.5908
389,11,Шохмансур,4.05,8,73.373,3.0,5.0,13,Обычная школа,0,0.3382,0.0922,0.3839,0.1519
390,11,Фирдавси,3.81,12,75.278,3.0,7.0,10,Обычная школа,1,0.2179,0.0325,0.2434,0.4398
391,11,Шохмансур,3.652,11,83.001,3.0,7.0,10,Обычная школа,1,0.3873,0.2595,0.3753,0.4298
392,11,Сино,4.234,11,67.828,5.0,5.0,12,Обычная школа,1,0.5159,0.2442,0.4279,0.46
393,11,Исмоили Сомони,4.28,8,76.695,6.0,3.0,9,Лицей/гимназия,1,0.4297,0.4516,0.3151,0.2987
394,11,Сино,4.01,14,76.25,4.0,5.0,8,Обычная школа,0,0.3802,0.2036,0.393,0.3585
395,11,Фирдавси,3.824,10,73.214,5.0,5.0,14,Обычная школа,0,0.3151,0.0,0.3805,0.4391
396,11,Исмоили Сомони,3.748,13,75.342,4.0,7.0,8,Обычная школа,0,0.2611,0.1986,0.368,0.1049
397,11,Сино,4.677,16,83.785,6.0,3.0,5,Лицей/гимназия,1,0.7141,0.2818,0.5514,0.5271
398,11,Сино,4.409,13,81.367,6.0,5.0,12,Лицей/гимназия,1,0.5478,0.3704,0.2657,0.5864
399,11,Шохмансур,4.524,19,86.834,7.0,4.0,6,Лицей/гимназия,1,0.4779,0.3486,0.4839,0.498
400,11,Шохмансур,4.01,16,81.114,4.0,6.0,10,Обычная школа,0,0.4286,0.1908,0.3687,0.2808
401,11,Шохмансур,3.944,19,81.007,4.0,5.0,6,Обычная школа,1,0.5351,0.5174,0.2038,0.262
402,11,Фирдавси,4.157,8,73.514,6.0,6.0,15,Лицей/гимназия,1,0.5535,0.2049,0.2583,0.428
403,11,Фирдавси,4.635,8,73.716,5.0,4.0,14,Лицей/гимназия,1,0.4773,0.2456,0.4586,0.5038
404,11,Шохмансур,4.201,12,81.375,5.0,3.0,10,Лицей/гимназия,1,0.5208,0.3386,0.4338,0.6677
405,11,Фирдавси,4.649,18,82.945,7.0,4.0,6,Лицей/гимназия,1,0.6526,0.4237,0.6608,0.5612
406,11,Исмоили Сомони,3.738,13,73.534,3.0,5.0,7,Обычная школа,1,0.2883,0.1491,0.3134,0.4992
407,11,Исмоили Сомони,4.788,22,86.786,7.0,2.0,6,Лицей/гимназия,1,0.4998,0.3453,0.465,0.5745
408,11,Исмоили Сомони,3.591,16,84.935,4.0,7.0,6,Обычная школа,1,0.2665,0.0368,0.2521,0.5913
409,11,Сино,3.621,13,78.422,4.0,7.0,7,Обычная школа,0,0.3669,0.1784,0.1975,0.375
410,11,Шохмансур,3.656,12,79.752,4.0,6.0,8,Обычная школа,0,0.1718,0.091,0.1567,0.3922
411,11,Шохмансур,4.157,13,78.357,4.0,4.0,14,Обычная школа,1,0.6053,0.42,0.4211,0.3261
412,11,Фирдавси,3.98,12,76.901,4.0,6.0,12,Обычная школа,1,0.2888,0.0,0.0506,0.3996
413,11,Исмоили Сомони,4.172,10,74.028,4.0,5.0,9,Обычная школа,1,0.4377,0.2576,0.4695,0.2523
414,11,Фирдавси,4.245,24,91.021,5.0,5.0,4,Лицей/гимназия,1,0.5275,0.4419,0.5531,0.4889
415,11,Фирдавси,4.363,11,75.826,6.0,5.0,12,Лицей/гимназия,1,0.4992,0.3547,0.5016,0.4512
416,11,Фирдавси,3.717,10,77.451,5.0,5.0,12,Обычная школа,0,0.3935,0.3181,0.1809,0.4364
417,11,Исмоили Сомони,4.233,14,83.695,5.0,4.0,4,Лицей/гимназия,1,0.4762,0.4818,0.3731,0.5279
418,11,Шохмансур,3.636,12,80.699,4.0,7.0,7,Обычная школа,0,0.2986,0.1028,0.1429,0.4228
419,11,Шохмансур,3.135,7,70.969,1.0,8.0,14,Обычная школа,0,0.0873,0.0,0.1847,0.3315
420,11,Исмоили Сомони,3.96,9,74.56,4.0,5.0,12,Обычная школа,1,0.4315,0.2472,0.2183,0.2798
421,11,Исмоили Сомони,4.232,7,69.511,6.0,4.0,8,Обычная школа,1,0.5489,0.5807,0.5576,0.3294
422,11,Сино,3.943,4,72.356,5.0,5.0,14,Обычная школа,1,0.3455,0.2261,0.398,0.4156
423,11,Шохмансур,4.043,12,75.647,6.0,4.0,11,Обычная школа,1,0.4156,0.3222,0.5522,0.5986
424,11,Шохмансур,3.675,7,76.579,3.0,6.0,15,Обычная школа,0,0.2804,0.1695,0.1269,0.2786
425,11,Исмоили Сомони,4.418,11,74.237,7.0,5.0,6,Лицей/гимназия,1,0.5055,0.3996,0.5226,0.4062
426,11,Исмоили Сомони,4.184,15,80.429,5.0,4.0,11,Обычная школа,0,0.4581,0.3865,0.5888,0.36
427,11,Исмоили Сомони,4.231,13,79.159,4.0,6.0,6,Обычная школа,1,0.4821,0.3219,0.3832,0.4234
428,11,Сино,3.958,14,81.648,4.0,5.0,10,Обычная школа,1,0.3995,0.2328,0.3852,0.4075
429,11,Исмоили Сомони,4.599,15,76.98,6.0,3.0,13,Лицей/гимназия,1,0.5787,0.2216,0.4459,0.6736
430,11,Сино,3.756,13,82.799,4.0,7.0,9,Обычная школа,1,0.3443,0.1855,0.4267,0.4752
431,11,Фирдавси,3.718,8,76.07,3.0,6.0,12,Обычная школа,0,0.3825,0.1526,0.3822,0.2464
432,11,Сино,4.357,22,95.06,6.0,2.0,3,Лицей/гимназия,1,0.6591,0.6504,0.4623,0.4567
433,11,Исмоили Сомони,4.713,16,86.508,6.0,3.0,2,Лицей/гимназия,1,0.7089,0.5224,0.4876,0.5423
434,11,Исмоили Сомони,3.635,16,84.824,4.0,6.0,8,Обычная школа,0,0.3152,0.1835,0.1472,0.5932
435,11,Сино,4.06,18,81.068,7.0,4.0,9,Лицей/гимназия,1,0.4871,0.1486,0.3832,0.768
436,11,Фирдавси,3.981,3,70.562,4.0,5.0,12,Обычная школа,0,0.4745,0.2229,0.5228,0.0836
437,11,Исмоили Сомони,4.078,6,74.844,4.0,5.0,14,Обычная школа,1,0.4827,0.2708,0.3618,0.438
438,11,Фирдавси,4.306,15,89.668,5.0,4.0,4,Лицей/гимназия,1,0.7546,0.4958,0.7412,0.4751
439,11,Фирдавси,3.537,14,84.129,3.0,5.0,10,Обычная школа,1,0.3644,0.3244,0.2348,0.4228
440,11,Сино,3.779,6,71.09,4.0,6.0,13,Обычная школа,0,0.2228,0.1923,0.0646,0.2726
441,11,Фирдавси,4.564,18,85.737,7.0,3.0,2,Лицей/гимназия,0,0.6944,0.4061,0.6401,0.5883
442,11,Фирдавси,4.366,13,82.078,6.0,4.0,9,Лицей/гимназия,1,0.5477,0.2536,0.6633,0.6623
443,11,Шохмансур,4.276,15,74.147,6.0,5.0,8,Лицей/гимназия,0,0.4959,0.2947,0.3828,0.4625
444,11,Фирдавси,4.316,11,80.962,4.0,4.0,10,Лицей/гимназия,1,0.3902,0.1579,0.4903,0.4403
445,11,Исмоили Сомони,3.94,11,75.077,5.0,6.0,12,Обычная школа,1,0.4294,0.1751,0.2095,0.2418
446,11,Исмоили Сомони,4.164,10,71.969,6.0,6.0,10,Обычная школа,1,0.4386,0.31,0.4283,0.3776
447,11,Исмоили Сомони,4.476,16,87.214,5.0,3.0,4,Лицей/гимназия,1,0.4659,0.0875,0.3917,0.3692
448,11,Шохмансур,3.433,8,74.913,2.0,8.0,12,Обычная школа,0,0.4047,0.2484,0.2414,0.2313
449,11,Шохмансур,4.418,13,82.316,7.0,6.0,9,Лицей/гимназия,1,0.4994,0.1931,0.5088,0.7173
450,11,Шохмансур,3.99,12,76.178,4.0,6.0,8,Обычная школа,0,0.5627,0.3485,0.4334,0.3658
451,11,Исмоили Сомони,4.276,17,77.8,5.0,4.0,12,Обычная школа,1,0.5601,0.3248,0.463,0.2385
452,11,Фирдавси,4.296,15,83.915,6.0,5.0,9,Лицей/гимназия,1,0.5344,0.3396,0.4295,0.5626
